Title;Actor;Actress
Hellfighters;Wayne, John;Ross, Katharine
Final Countdown, The;Douglas, Kirk;Ross, Katharine
Blue Velvet;MacLachlan, Kyle;Rossellini, Isabella
Cousins;Danson, Ted;Rossellini, Isabella
Black & White in Color;Carmet, Jean;Rouvel, Catherine
Another Woman;Hackman, Gene;Rowlands, Gena
Night on Earth;Benigni, Roberto;Rowlands, Gena
Permanent Record;Boyce, Alan;Rubin, Jennifer
Fisher King, The;Williams, Robin;Ruehl, Mercedes
Another You;Pryor, Richard;Ruehl, Mercedes
Young Lions, The;Brando, Marlon;Rush, Barbara
Cheerleader Camp;Garrett, Leif;Russell, Betsy
Trapper County War;Hudson, Ernie;Russell, Betsy
Angel & the Badman;Wayne, John;Russell, Gail
Impulse;Fahey, Jeff;Russell, Theresa
Track Twenty-Nine;Oldman, Gary;Russell, Theresa
Freejack;Estevez, Emilio;Russo, Rene
John Wayne Matinee Double Feature, No. 1;Wayne, John;Rutherford, Ann
Smallest Show on Earth, The;Sellers, Peter;Rutherford, Margaret
Innerspace;Quaid, Dennis;Ryan, Meg
Presidio, The;Connery, Sean;Ryan, Meg
Joe Versus the Volcano;Hanks, Tom;Ryan, Meg
Doors, The;Kilmer, Val;Ryan, Meg
Welcome Home, Roxy Carmichael;Daniels, Jeff;Ryder, Winona
Cancel My Reservation;Hope, Bob;Saint, Eva Marie
North by Northwest;Grant, Cary;Saint, Eva Marie
Russians Are Coming, the Russians Are, The;Reiner, Carl;Saint, Eva Marie
Exodus;Newman, Paul;Saint, Eva Marie
Ballad of Narayama, The;Ogata, Ken;Sakamoto, Sumiko
Out of the Darkness;Sheen, Martin;Salt, Jennifer
Garden of the Finzi-Continis, The;Capolicchio, Lino;Sanda, Dominique
Steppenwolf;Sydow, Max von;Sanda, Dominique
Mackintosh Man, The;Newman, Paul;Sanda, Dominique
Partner;Clementi, Pierre;Sandrelli, Stefania
Conformist, The;Trintignant, Jean-Louis;Sandrelli, Stefania
Dirty Harry;Eastwood, Clint;Santoni, Reni
Ferris Bueller's Day Off;Broderick, Matthew;Sara, Mia
Legend;Cruise, Tom;Sara, Mia
Buddy System, The;Dreyfuss, Richard;Sarandon, Susan
A Dry White Season;Sutherland, Donald;Sarandon, Susan
Rocky Horror Picture Show, The;Gray, Charles;Sarandon, Susan
War & Peace;Tikhonov, Vyacheslav;Savelyeva, Lyudmila
Defense of the Realm;Elliott, Denholm;Scacchi, Greta
Basil The Rat;Cleese, John;Scales, Prunella
Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse;Cleese, John;Scales, Prunella
Going Under;Pullman, Bill;Schaal, Wendy
U S. Sub Standard.;Pullman, Bill;Schaal, Wendy
Hells Angels on Wheels;Nicholson, Jack;Scharf, Sabrina
Passenger, The;Nicholson, Jack;Schneider, Maria
Last Tango in Paris;Brando, Marlon;Schneider, Maria
Indigo Autumn & Lilac Dream;Singer, Marc;Schrage, Lisa
Kriemhild's Revenge, The Nibelungenlied;Loos, Theodor;Schön, Margarete
Johnny Tiger;Taylor, Robert;Scott, Brenda
Head Office;Reinhold, Judge;Seymour, Jane
Live & Let Die;Moore, Roger;Seymour, Jane
Le Charme Discret de la Bourgeoisie;Rey, Fernando;Seyrig, Delphine
Blue City;Nelson, Judd;Sheedy, Ally
Bad Boys;Penn, Sean;Sheedy, Ally
Whoopee Boys, The;O'Keefe, Michael;Shelley, Carole
Last Picture Show, The;Bottoms, Timothy;Shepherd, Cybill
Diamond Trap, The;Hessman, Howard;Shields, Brooke
Endless Love;Hewitt, Martin;Shields, Brooke
Rocky;Stallone, Sylvester;Shire, Talia
Cocktail;Cruise, Tom;Shue, Elisabeth
Sabotage;Homolka, Oskar;Sidney, Sylvia
Madame Rosa;Youb, Samy Ben;Signoret, Simone
Fozzie's Muppet Scrapbook;Berle, Milton;Sills, Beverly
Desiree;Brando, Marlon;Simmons, Jean
Spartacus;Douglas, Kirk;Simmons, Jean
Guys & Dolls;Brando, Marlon;Simmons, Jean
Until They Sail;Newman, Paul;Simmons, Jean
Coming to America;Murphy, Eddie;Sinclair, Madge
Lilies of the Field;Poitier, Sidney;Skala, Lilia
River's Edge;Glover, Crispin;Skye, Ione
Ruthless People;DeVito, Danny;Slater, Helen
Secret of My Success, The;Fox, Michael J.;Slater, Helen
Shop on Main Street, The;Kroner, Josef;Slivoka, Hana
Funny Farm;Chase, Chevy;Smith, Madolyn
Lonely Passion of Judith Hearne, The;Hoskins, Bob;Smith, Maggie
California Suite;Caine, Michael;Smith, Maggie
Maximum Overdrive;Estevez, Emilio;Smith, Yeardley
Pale Rider;Eastwood, Clint;Snodgress, Carrie
Kissing Place, The;Birney, Meredith Baxter;Snow, Victoria
French Lesson;Sterling, Alexandre;Snowden, Jane
Roller Blade;Hutchinson, Jeff;Solari, Suzanne
A Shot in the Dark;Sellers, Peter;Sommer, Elke
Treasure Seekers, The;Whitman, Stuart;Sommer, Elke
Missing;Lemmon, Jack;Spacek, Sissy
Picasso Trigger;Bond, Steve;Speir, Dona
Hard Ticket to Hawaii;Moss, Ronn;Speir, Dona
Diamonds are Forever;Connery, Sean;St. John, Jill
Baby Face;Brent, George;Stanwyck, Barbara
Violent Men, The;Ford, Glenn;Stanwyck, Barbara
Cocoon;Ameche, Don;Stapleton, Maureen
Clockwise;Cleese, John;Steadman, Alison
Romantic Comedy;Moore, Dudley;Steenburgen, Mary
Outland;Connery, Sean;Sternhagen, Frances
Hang 'em High;Eastwood, Clint;Stevens, Inger
Basic Instinct;Douglas, Michael;Stone, Sharon
Total Recall;Schwarzenegger, Arnold;Stone, Sharon
Stakeout;Dreyfuss, Richard;Stowe, Madeleine
Unnamable II, The Statement of Randolph Carter, The;Rhys-Davies, John;Strain, Julie
Trip, The;Fonda, Peter;Strasberg, Susan
Ironweed;Nicholson, Jack;Streep, Meryl
Kramer vs. Kramer;Hoffman, Dustin;Streep, Meryl
Still of the Night;Scheider, Roy;Streep, Meryl
Defending Your Life;Brooks, Albert;Streep, Meryl
Deer Hunter, The;De Niro, Robert;Streep, Meryl
Falling in Love;De Niro, Robert;Streep, Meryl
Heartburn;Nicholson, Jack;Streep, Meryl
Silkwood;Russell, Kurt;Streep, Meryl
Sophie's Choice;Kline, Kevin;Streep, Meryl
Out of Africa;Redford, Robert;Streep, Meryl
French Lieutenant's Woman, The;Irons, Jeremy;Streep, Meryl
Plenty;Dance, Charles;Streep, Meryl
A Cry in the Dark;Neill, Sam;Streep, Meryl
She-Devil;Begley, Ed, Jr.;Streep, Meryl
Death Becomes Her;Willis, Bruce;Streep, Meryl
Kids & Pesticides;Whyatt, Robin;Streep, Meryl
On a Clear Day You Can See Forever;Montand, Yves;Streisand, Barbra
Nuts;Dreyfuss, Richard;Streisand, Barbra
Yentl;Patinkin, Mandy;Streisand, Barbra
Funny Girl;Sharif, Omar;Streisand, Barbra
Fellow Traveller;Travanti, Daniel J.;Stubbs, Imogen
Dodesukaden;Zushi, Yoshitaka;Sugai, Kin
Sicilian, The;Lambert, Christopher;Sukowa, Barbara
So Ends Our Night;March, Fredric;Sullavan, Margaret
Sword of the Valiant;O'Keeffe, Miles;Sutton, Emma
Devil's Wanton, The;Malmsten, Birger;Svedlund, Doris
Driving Miss Daisy;Freeman, Morgan;Tandy, Jessica
Seventh Cross, The;Tracy, Spencer;Tandy, Jessica
Between Friends;Ramer, Henry;Taylor, Elizabeth
Raintree County;Clift, Montgomery;Taylor, Elizabeth
Driver's Seat, The;Bannen, Ian;Taylor, Elizabeth
Reflections in a Golden Eye;Brando, Marlon;Taylor, Elizabeth
X, Y & Zee;Caine, Michael;Taylor, Elizabeth
Secret Ceremony;Mitchum, Robert;Taylor, Elizabeth
Cleopatra;Burton, Richard;Taylor, Elizabeth
Father of the Bride;Taylor, Rod;Taylor, Elizabeth
Who's Afraid of Virginia Woolf?;Burton, Richard;Taylor, Elizabeth
A Little Night Music;Cariou, Len;Taylor, Elizabeth
Giant;Hudson, Rock;Taylor, Elizabeth
Rumor Mill, The;Dysart, Richard A.;Taylor, Elizabeth
Lassie Come Home;McDowall, Roddy;Taylor, Elizabeth
Return Engagement;Bottoms, Joseph;Taylor, Elizabeth
Hammersmith Is Out;Burton, Richard;Taylor, Elizabeth
Super Duper Bloopers;Cooper, Gary;Taylor, Elizabeth
Elizabeth Taylor Collection, The;Fisher, Eddie;Taylor, Elizabeth
Ash Wednesday;Fonda, Henry;Taylor, Elizabeth
Last Time I Saw Paris, The;Johnson, Van;Taylor, Elizabeth
Cimarron;Dix, Richard;Taylor, Estelle
Apache Woman;Bridges, Lloyd;Taylor, Joan
Gary Numan - Berzerker;Webb, John;Taylor, Karen
Mystic Pizza;Moses, William;Taylor, Lili
Dogfight;Phoenix, River;Taylor, Lili
Adventures of Rex & Rinty, The;Rex the Wonder Horse;Taylor, Norma
Daphnis & Chloe;Morrow, Carl;Taylor, Victoria
Marathon;Newhart, Bob;Taylor-Young, Leigh
Fort Apache;Fonda, Henry;Temple, Shirley
Wee Willie Winkie;Romero, Cesar;Temple, Shirley
Big Shots;Busker, Ricky;Thayer, Brynn
Doin' Time on Planet Earth;Strouse, Nocholas;Thompson, Andrea
All the Right Moves;Cruise, Tom;Thompson, Lea
Some Kind of Wonderful;Stoltz, Eric;Thompson, Lea
All New Tales from the Crypt, A Trilogy;Walsh, M. Emmet;Thompson, Lea
Back to the Future;Fox, Michael J.;Thompson, Lea
Winter Light;Björnstrand, Gunnar;Thulin, Ingrid
Silence, The;Malmsten, Birger;Thulin, Ingrid
Magician, The;Sydow, Max von;Thulin, Ingrid
Four Horsemen of the Apocalypse, The;Ford, Glenn;Thulin, Ingrid
Critical Condition;Pryor, Richard;Ticotin, Rachel
Center of the Web;Curtis, Tony;Tilton, Charlene
Border Shootout;Ford, Glenn;Tilton, Charlene
Lean on Me;Freeman, Morgan;Todd, Beverly
On Wings of Eagles;Lancaster, Burt;Towers, Constance
Texas;Holden, William;Trevor, Claire
Allegheny Uprising;Wayne, John;Trevor, Claire
Dark Command;Wayne, John;Trevor, Claire
Peggy Sue Got Married;Cage, Nicolas;Turner, Kathleen
Dear America, Letters Home from Vietnam;De Niro, Robert;Turner, Kathleen
Prizzi's Honor;Nicholson, Jack;Turner, Kathleen
Man with Two Brains, The;Martin, Steve;Turner, Kathleen
Crimes of Passion;Perkins, Anthony;Turner, Kathleen
Jewel of the Nile, The;Douglas, Michael;Turner, Kathleen
Romancing the Stone;Douglas, Michael;Turner, Kathleen
Accidental Tourist, The;Hurt, William;Turner, Kathleen
Sea Chase, The;Wayne, John;Turner, Lana
Another Time, Another Place;Connery, Sean;Turner, Lana
Cannibal Women in the Avocado Jungle of Death;Primus, Barry;Tweed, Shannon
Mr Love.;Jackson, Barry;Tyzack, Margaret
2001: A Space Odyssey;Dullea, Keir;Tyzack, Margaret
Persona;Björnstrand, Gunnar;Ullman, Liv
Scenes from a Marriage;Josephson, Erland;Ullman, Liv
Hour of the Wolf;Sydow, Max von;Ullman, Liv
Passion of Anna, The;Sydow, Max von;Ullman, Liv
Dangerous Moves;Caron, Leslie;Ullman, Liv
Sayonara;Brando, Marlon;Umeki, Miyoshi
Where Eagles Dare;Burton, Richard;Ure, Mary
Teen Wolf;Fox, Michael J.;Ursitti, Susan
Amazon;Davi, Robert;Vaananen, Kari
Paper Chase, The;Bottoms, Timothy;Wagner, Lindsay
Virgin Spring, The;Sydow, Max von;Valberg, Brigitta
Spider's Stratagem;Brogi, Giulio;Valli, Alida
Play Misty for Me;Eastwood, Clint;Walter, Jessica
Going Ape;Danza, Tony;Walter, Jessica
Cool Hand Luke;Newman, Paul;Van Fleet, Jo
Phantom of the Ritz;Bergman, Peter;Van Valkenburgh, Deborah
Crash & Burn;Ganus, Paul;Ward, Megan
After Dark My Sweet;Patric, Jason;Ward, Rachel
Christopher Columbus: The Discovery;Brando, Marlon;Ward, Rachel
Young Sherlock Holmes;Rowe, Nicholas;Ward, Sophie
Doc Hollywood;Fox, Michael J.;Warner, Julie
Baja Oklahoma;Coyote, Peter;Warren, Lesley Ann
Aliens;Biehn, Michael;Weaver, Sigourney
Alien Three;Dutton, Charles;Weaver, Sigourney
Alien: resurrection;Perlman, Ron;Weaver, Sigourney
Alien;Skerritt, Tom;Weaver, Sigourney
One Woman or Two;Depardieu, Gérard;Weaver, Sigourney
Soggy Bottom U. S. A.;Johnson, Ben;Wedgeworth, Ann
Bang the Drum Slowly;Moriarty, Michael;Wedgeworth, Ann
Catamount Killing, The;Buchholz, Horst;Wedgeworth, Ann
Fuzz;Reynolds, Burt;Welch, Raquel
Shoot Loud, Louder, I Don't Understand!;Mastroianni, Marcello;Welch, Raquel
Bedazzled;Cook, Peter;Welch, Raquel
Prince & the Pauper, The;Reed, Oliver;Welch, Raquel
One Hundred Rifles;Reynolds, Burt;Welch, Raquel
Wild Party, The;Dukes, David;Welch, Raquel
Bandolero!;Stewart, James;Welch, Raquel
Last of Sheila, The;Coburn, James;Welch, Raquel
Hannie Caulder;Borgnine, Ernest;Welch, Raquel
Sounds of the Seventies...& the Beat Goes;Jones, Tom;Welch, Raquel
Bird;Whitaker, Forest;Venora, Diane
Meet Millie;Halop, Florence;Verdugo, Elena
Hell Comes to Frogtown;LeFlore, Julius;Verrell, Cec
Fortune Cookie, The;Lemmon, Jack;West, Judi
Sun Shines Bright, The;Winninger, Charles;Whelan, Arleen
Squeeze, The;Keach, Stacy;White, Carol
Start the Revolution Without Me;Wilder, Gene;Whitelaw, Billie
Major League;Sheen, Charlie;Whitton, Margaret
Bright Lights, Big City;Fox, Michael J.;Wiest, Dianne
Lost Boys, The;Patric, Jason;Wiest, Dianne
Cookie;Falk, Peter;Wiest, Dianne
Conversation, The;Hackman, Gene;Williams, Cindy
American Graffiti;Dreyfuss, Richard;Williams, Cindy
Dangerous When Wet;Lamas, Fernando;Williams, Esther
Stir Crazy;Pryor, Richard;Williams, JoBeth
Young Einstein;Serious, Yahoo;Wilson, Pee-Wee
Killing, The;Hayden, Sterling;Windsor, Marie
Cahill, United States Marshal;Wayne, John;Windsor, Marie
Savage Intruder, The;Garfield, John David;Wing, Virginia
Sheltering Sky, The;Malkovich, John;Winger, Debra
An Officer & a Gentleman;Gere, Richard;Winger, Debra
Black Widow;Hopper, Dennis;Winger, Debra
Legal Eagles;Redford, Robert;Winger, Debra
Bloody Mama;Stroud, Don;Winters, Shelley
A Patch of Blue;Poitier, Sidney;Winters, Shelley
I Died a Thousand Times;Palance, Jack;Winters, Shelley
Tentacles;Huston, John;Winters, Shelley
Scalphunters, The;Lancaster, Burt;Winters, Shelley
A Day in October;Sweeney, D. B.;Wolf, Kelly
A Fistful of Dollars;Eastwood, Clint;Volonte, Gian Maria
My Science Project;Stockwell, John;Von Zerneck, Danielle
Great Race, The;Moore, Dudley;Wood, Natalie
Searchers, The;Wayne, John;Wood, Natalie
Meteor;Connery, Sean;Wood, Natalie
Rebel Without a Cause;Dean, James;Wood, Natalie
West Side Story;Beymer, Richard;Wood, Natalie
Trash;Dallesandro, Joe;Woodlawn, Holly
A Big Hand for the Little Lady;Fonda, Henry;Woodward, Joanne
A Fine Madness;Connery, Sean;Woodward, Joanne
Glass Menagerie, The;Malkovich, John;Woodward, Joanne
Harry & Son;Newman, Paul;Woodward, Joanne
Rachel, Rachel;Olson, James;Woodward, Joanne
Paris Blues;Newman, Paul;Woodward, Joanne
Fugitive Kind, The;Brando, Marlon;Woodward, Joanne
Mr. & Mrs. Bridge;Newman, Paul;Woodward, Joanne
State of Grace;Penn, Sean;Wright, Robin
Shadow of a Doubt;Cotten, Joseph;Wright, Teresa
Men, The;Brando, Marlon;Wright, Teresa
Stage Fright;Wilding, Michael;Wyman, Jane
Magic Town;Stewart, James;Wyman, Jane
That Lucky Touch;Moore, Roger;York, Susannah
Lust for Gold;Ford, Glenn;Young, Gig
Heat;Reynolds, Burt;Young, Karen
Employee's Entrance;William, Warren;Young, Loretta
Night Is My Future;Malmsten, Birger;Zetterling, Mai
Witches, The;Fisher, Jasen;Zetterling, Mai
Vera Cruz;Cooper, Gary;
Apache;Lancaster, Burt;
Twilight's Last Gleaming;Lancaster, Burt;
Frisco Kid, The;Wilder, Gene;
Bank on the Stars;Paar, Jack;
Law of Desire;Maura, Carmen;
Quiller Memorandum, The;Segal, George;
Longest Day, The;Wayne, John;
Name of the Rose, The;Connery, Sean;
Bloodsport;Van Damme, Jean-Claude;
Torment;Gilbert, Taylor;
Pelle the Conqueror;Sydow, Max von;
Taps;Hutton, Timothy;
Freshman, The;Brando, Marlon;
Last Emperor, The;Lone, John;
Grim Reaper, The;Rulu, Francesco;
Le Dernier Combat;Jolivet, Pierre;
Too Beautiful for You;Depardieu, Gérard;
Fire, Ice & Dynamite;Moore, Roger;
Heavens Above;Sellers, Peter;
One Eyed Jacks;Malden, Karl;
Swing It, Sailor!;Ford, Wallace;
Wolf at the Door, The;Sutherland, Donald;
Modern Times;Chaplin, Charles;
Thunderbolt & Lightfoot;Eastwood, Clint;
A Nous la Liberte;Marchand, Henri;
Scum;Winstone, Ray;
Inside Man, The;Hopper, Dennis;
Apocalypse Now;Brando, Marlon;
Bellboy & the Playgirls, The;Wilkinson, June;
Terror, The;Karloff, Boris;
Raven, The;Price, Vincent;
They Came from Within;Hampton, Paul;
Boy in Blue, The;Cage, Nicolas;
Killer Tomatoes Strike Back;Astin, John;
Attack of the Killer Tomatoes;Wilson, George;
Untouchables, The;Connery, Sean;
Wise Guys;Piscopo, Joe;
American Autobahn;Jalenak, Jan;
Final Alliance, The;Hasselhoff, David;
Bounty, The;Gibson, Mel;
Little Prince, The;Kiley, Richard;
Posse;Douglas, Kirk;
Firefox;Eastwood, Clint;
Penitentiary III;Kennedy, Leon Isaac;
Ginger & Fred;Mastroianni, Marcello;
Wrong Box, The;Mills, John;
Wagonmaster;Johnson, Ben;
They Were Expendable;Montgomery, Robert;
Last Hurrah, The;Tracy, Spencer;
Law of the Golden West;Hale, Monte;
Pioneer Marshal;Hale, Monte;
Ranger of the Cherokee Strip;Hale, Monte;
Vanishing Westerner;Hale, Monte;
Bandits of Dark Canyon;Lane, Allan;
Bold Frontiersman, The;Lane, Allan;
Wild Frontier, The;Lane, Allan;
Firemen's Ball, The;Vostrcil, Jan;
Local Hero;Riegert, Peter;
French Connection, The;Hackman, Gene;
To Live & Die in L. A.;Stockwell, Dean;
Ferry to Hong Kong;Welles, Orson;
Eddie Murphy, Delirious;Murphy, Eddie;
Secret Policeman's Private Parts, The;Cleese, John;
Up the Creek;Sellers, Peter;
Yol;Akan, Tarik;
Sara Dane;Hopkins, Harold;
Night Tide;Muir, Gavin;
His Majesty O'Keefe;Lancaster, Burt;
North to Alaska;Wayne, John;
Flight to Fury;Nicholson, Jack;
Ride in the Whirlwind;Nicholson, Jack;
Powderkeg;Taylor, Rod;
I Confess;Clift, Montgomery;
Thirty-Nine Steps, The;Donat, Robert;
Topaz;Forsythe, John;
Murder;Marshall, Herbert;
Dial M for Murder;Milland, Ray;
Young & Innocent;Pilbeam, Nova;
Creature from Black Lake;Elam, Jack;
Chariots of Fire;Cross, Ben;
Monty Python Live at the Hollywood Bowl;Chapman, Graham;
Man Who Would Be King, The;Connery, Sean;
Victory;Stallone, Sylvester;
Kelly's Heroes;Eastwood, Clint;
Next of Kin;Swayze, Patrick;
Chattahoochee;Oldman, Gary;
Angelic Conversation, The;Reynolds, Paul;
Down by Law;Waits, Tom;
Killing Fields, The;Waterston, Sam;
Survival Zone;Ford, Terence;
Monty Python's Life of Brian;Chapman, Graham;
Monty Python's the Meaning of Life;Cleese, John;
Red Tent, The;Finch, Peter;
Dakota;Wayne, John;
Viva Zapata!;Brando, Marlon;
Green Berets, The;Wayne, John;
Big Bad John;English, Doug;
Ticket of Leave Man, The;Slaughter, Tod;
D-Day, The Sixth of June;Taylor, Robert;
Apprenticeship of Duddy Kravitz, The;Dreyfuss, Richard;
A Clockwork Orange;McDowell, Malcolm;
Full Metal Jacket;Modine, Matthew;
Sanshiro Sugata;Fujita, Susumu;
Rhapsody in August;Gere, Richard;
No Regrets for Our Youth;Hara, Setsuko;
Bad Sleep Well, The;Mifune, Toshiro;
Idiot, The;Mifune, Toshiro;
Rashomon;Mifune, Toshiro;
Sanjuro;Mifune, Toshiro;
Seven Samurai;Mifune, Toshiro;
Throne of Blood;Mifune, Toshiro;
Yojimbo;Mifune, Toshiro;
Kagemusha;Nakadai, Tatsuya;
Ikiru;Shimura, Takashi;
Empire of Spiritual Ninja;Berlin, Tom;
Ninja, the Violent Sorcerer;;
Metropolis;Abel, Alfred;
Cloak & Dagger;Cooper, Gary;
Spiders;De Vogy, Carl;
Human Desire;Ford, Glenn;
Spies;Klein-Rogge, Rudolf;
Testament of Dr. Mabuse, The;Klein-Rogge, Rudolf;
Fury;Tracy, Spencer;
Mo' Better Blues;Washington, Denzel;
Matt Talbot;Ford, Seamus;
Will Rogers, Look Back in Laughter;Williams, Robin;
For a Few Dollars More;Eastwood, Clint;
Thirty Seconds over Tokyo;Tracy, Spencer;
Class of 1984;King, Perry;
Juggernaut;Harris, Richard;
Good Morning, Vietnam;Williams, Robin;
Blood on the Sun;Cagney, James;
Paint Your Wagon;Marvin, Lee;
Ensign Pulver;Walker, Robert, Jr.;
Street People;Moore, Roger;
Manhunt, The;Borgnine, Ernest;
Operation Nam;Wayne, John Ethan;
Fighting Seabees, The;Wayne, John;
Let It Rock;Hopper, Dennis;
Eraserhead;Nance, John;
Ladykillers, The;Guinness, Alec;
Sweet Smell of Success;Lancaster, Burt;
And Now for Something Completely Different;Cleese, John;
Crackers;Sutherland, Donald;
Green Glove;Ford, Glenn;
Menace on the Mountain;Crowley, Pat;
In Old California;Wayne, John;
Thirty Is a Dangerous Age, Cynthia;Moore, Dudley;
Ffolkes;Moore, Roger;
Chisum;Wayne, John;
Hunt for Red October, The;Connery, Sean;
Closely Watched Trains;Neckar, Vaclav;
Executive Action;Lancaster, Burt;
Flying Tigers;Wayne, John;
Father's Little Dividend;Tracy, Spencer;
An Evening with Robin Williams;Williams, Robin;
Eddie Murphy Raw;Murphy, Eddie;
Harlem Nights;Murphy, Eddie;
Santee;Ford, Glenn;
Good Father, The;Hopkins, Anthony;
Sometimes a Great Notion;Newman, Paul;
Catch Twenty-Two;Arkin, Alan;
Dark Age;Jarratt, John;
Deadline;Newman, Barry;
Mysterious Mr. Wong;Lugosi, Bela;
A Month in the Country;Firth, Colin;
Prom Night III, The Last Kiss;Conlon, Tim;
Blood in, Blood Out;Penn, Sean;
Wrong Arm of the Law, The;Sellers, Peter;
Orphans;Finney, Albert;
All the President's Men;Redford, Robert;
J-Men Forever;Bergman, Peter;
Wild Bunch, The;Holden, William;
Judgement in Berlin;Sheen, Martin;
Hot Line, The;Boyer, Charles;
Rocket Gibraltar;Lancaster, Burt;
Yakuza, The;Mitchum, Robert;
Jeremiah Johnson;Redford, Robert;
Burn!;Brando, Marlon;
Magnum Force;Eastwood, Clint;
Cyborg;Van Damme, Jean-Claude;
Prisoner of Zenda, The;Sellers, Peter;
Scream;Martin, Pepper;
Assault, The;Lint, Derek De;
Flying Leathernecks;Wayne, John;
What Comes Around;Reed, Jerry;
Mon Oncle D'Amerique;Roger-Pierre;
Culpepper Cattle Company, The;Grimes, Gary;
Survivors, The;Matthau, Walter;
Roadhouse Sixty-Six;Dafoe, Willem;
Burning Poles, Cecil Taylor in Performance;Taylor, Cecil;
Russkies;Hubley, Whip;
My Blue Heaven;Martin, Steve;
Altered States;Hurt, William;
Cowboys, The;Wayne, John;
Code Name, Emerald;Harris, Ed;
Patton;Scott, George C.;
Midnight Cowboy;Hoffman, Dustin;
Falcon & the Snowman, The;Hutton, Timothy;
Maitresse;Ogier, Bulle;
Disorderlies;Boys, The Fat;
Raging Bull;De Niro, Robert;
Garrison Keillor's Home;Keillor, Garrison;
Overland Stage Raiders;Wayne, John;
Pals of the Saddle;Wayne, John;
Alone in the Dark;Schultz, Dwight;
Beguiled, The;Eastwood, Clint;
Escape from Alcatraz;Eastwood, Clint;
Criss Cross;Lancaster, Burt;
Midway;Heston, Charlton;
Indiana Jones & the Last Crusade;Ford, Harrison;
Duel;Weaver, Dennis;
Separate but Equal;Poitier, Sidney;
Gosta Berling's Saga;Hanson, Lars;
Platoon;Sheen, Charlie;
Crawling Hand, The;Breck, Peter;
Willy Wonka & the Chocolate Factory;Wilder, Gene;
Joe Kidd;Eastwood, Clint;
Santa Claus, The Movie;Moore, Dudley;
Boys Town;Tracy, Spencer;
Erasure, Live Wild!;;
A Question of Honor;Gazzara, Ben;
Check Your Guns;Dean, Eddie;
West to Glory;Dean, Eddie;
Throwback, The;Jones, Buck;
Border Feud;LaRue, Lash;
Fighting Vigilantes, The;LaRue, Lash;
Law of the Lash;LaRue, Lash;
Outlaw Country;LaRue, Lash;
Return of the Lash;LaRue, Lash;
Mystery of the Hooded Horsemen;Ritter, Tex;
Tex Rides with the Boy Scouts;Ritter, Tex;
Shadows of the West;Wilson, Whip;
Instant Karma;Cassidy, David;
Time Lock;Connery, Sean;
Appointment in Honduras;Ford, Glenn;
Danton;Depardieu, Gérard;
Alamo, The;Wayne, John;
La Chevre, (The Goat);Depardieu, Gérard;
Les Comperes;Richard, Pierre;
Dead Poets Society;Williams, Robin;
Othello, The Lost Masterpiece;Welles, Orson;
Battleground, The;Johnson, Van;
Kings of the Road (In the Course of Time);Vogler, Rudiger;
Hiroshima;Nelson, Judd;
Return of Martin Guerre, The;Depardieu, Gérard;
Somebody up There Likes Me;Newman, Paul;
Jack Benny Show;Benny, Jack;
Mutiny on the Bounty;Brando, Marlon;
Death Valley Days, Deadly Decision;Caan, James;
Monty Python's Flying Circus;Chapman, Graham;
Monty Python's Flying Circus, Vol 1.;Chapman, Graham;
Monty Python's Flying Circus, Vol 2.;Chapman, Graham;
Monty Python's Flying Circus, Vol 3.;Chapman, Graham;
Valkenvania;Chase, Chevy;
Secret Policeman's Other Ball, The;Cleese, John;
Taming of the Shrew, The;Cleese, John;
From Russia with Love;Connery, Sean;
Offence, The;Connery, Sean;
Hollywood Mavericks;Coppola, Francis Ford;
Live at Harrah's;Cosby, Bill;
Persuaders, The Overture, The;Curtis, Tony;
Nineteen Hundred;De Niro, Robert;
Van, The;DeVito, Danny;
My Country Right or Wrong;Douglas, Michael;
Clint Eastwood Collection, The;Eastwood, Clint;
Complete Dirty Harry, Magnum Force, The;Eastwood, Clint;
Dead Pool, The;Eastwood, Clint;
Good, the Bad & the Ugly, The;Eastwood, Clint;
Rawhide, Premiere Episode;Eastwood, Clint;
Tightrope;Eastwood, Clint;
Hearts of Fire;Everett, Rupert;
How the West Was Won;Fonda, Henry;
Mummy's Hand, The;Foran, Dick;
Great White Death;Ford, Glenn;
Mosquito Coast, The;Ford, Harrison;
Today We Kill....Tomorrow We Die;Ford, Montgomery;
Tormenta Sobre Arizona;Ford, Wallace;
Back to the Future II;Fox, Michael J.;
Maverick, Duel at Sundown;Garner, James;
Shakespeare Series;Gielgud, John;
Deadly Trackers;Harris, Richard;
American Film Institute, Alfred Hitchcock;Hitchcock, Alfred;
A Married Man;Hopkins, Anthony;
Othello;Hopkins, Anthony;
Only Way Home, The;Hopkins, Bo;
Tales of Tomorrow;Karloff, Boris;
Inherit the Wind;Kelly, Gene;
This Is Horror;King, Stephen;
Conversation Piece;Lancaster, Burt;
Crimson Pirate, The;Lancaster, Burt;
Devil's Disciple, The;Lancaster, Burt;
Hallelujah Trail, The;Lancaster, Burt;
Train, The;Lancaster, Burt;
Jay Leno: The American Dream;Leno, Jay;
Primal Rage;Lowe, Patrick;
Industrial Symphony, The Dream of the Broken-Hearted;Lynch, David;
Howie Mandel's North American Watusi Tour;Mandel, Howie;
Branford Marsalis, Steep;Marsalis, Branford;
