Title;Actor;Actress
Shampoo;Beatty, Warren;Christie, Julie
Power;Hackman, Gene;Christie, Julie
Darling;Harvey, Laurence;Christie, Julie
Ugly American, The;Brando, Marlon;Church, Sandra
Ambassador Bill;Rogers, Will;Churchill, Marguerite
Big Trail, The;Wayne, John;Churchill, Marguerite
Hombre;Newman, Paul;Cilento, Diane
Coogan's Bluff;Eastwood, Clint;Clark, Susan
Penn & Teller Get Killed;Penn, Jillette;Clarke, Caitlin
Shy People;Philbin, John;Clayburgh, Jill
It's My Turn;Douglas, Michael;Clayburgh, Jill
Dangerous Liaisons;Malkovich, John;Close, Glenn
Reversal of Fortune;Irons, Jeremy;Close, Glenn
Meeting Venus;Arestrup, Niels;Close, Glenn
Tomorrow Is Forever;Welles, Orson;Colbert, Claudette
Like Father Like Son;Cameron, Kirk;Colin, Margaret
Rope;Stewart, James;Collier, Constance
Road to Hong Kong;Hope, Bob;Collins, Joan
Shirley Valentine;Conti, Tom;Collins, Pauline
City of Joy;Swayze, Patrick;Collins, Pauline
Appaloosa, The;Brando, Marlon;Comer, Anjanette
Seven Minutes in Heaven;Thames, Byron;Connelly, Jennifer
Hearts of Darkness, A Filmmaker's Apocalypse;Bottoms, Sam;Coppola, Eleanor
Tonight for Sure;Lee, Karla;Cornell, Laura
White Hunter, Black Heart;Eastwood, Clint;Cornwell, Charlotte
Sundays & Cybele;Kruger, Hardy;Courcel, Nicole
Puppet Master;LeMat, Paul;Crampton, Barbara
Night Gallery;McDowall, Roddy;Crawford, Joan
Pet Sematary;Gwynne, Fred;Crosby, Denise
America's Music, Gospel;Phipps, Wentley;Crouch, Sandra
Slap Shot;Newman, Paul;Crouse, Lindsay
O. C. & Stiggs;Jenkins, Daniel H.;Curtin, Jane
A Fish Called Wanda;Cleese, John;Curtis, Jamie Lee
A Lesson in Love;Björnstrand, Gunnar;Dahlbeck, Eva
Brink of Life;Josephson, Erland;Dahlbeck, Eva
Betty Blue;Anglade, Jean-Hughes;Dalle, Béatrice
Hair;Savage, John;D'Angelo, Beverly
National Lampoon's Christmas Vacation;Chase, Chevy;D'Angelo, Beverly
Dersu Uzala, (The Hunter);Solomin, Yuri;Danilchenko, Svetlana
Alice;Baldwin, Alec;Danner, Blythe
Fifth Floor, The;Hopkins, Bo;D'Arbanville, Patti
Snow Kill;Knox, Terence;D'Arbanville, Patti
People, The;Shatner, William;Darby, Kim
True Grit;Wayne, John;Darby, Kim
Battle of Midway, The;Crisp, Donald;Darwell, Jane
Three Godfathers;Wayne, John;Darwell, Jane
Hush, Hush, Sweet Charlotte;Cotten, Joseph;Davis, Bette
A Stolen Life;Ford, Glenn;Davis, Bette
Old Maid, The;Brent, George;Davis, Bette
All about Eve;Sanders, George;Davis, Bette
Fly, The;Goldblum, Jeff;Davis, Geena
Quick Change;Murray, Bill;Davis, Geena
Lair of the White Worm, The;Grant, Hugh;Davis, Sammi
Rainbow, The;Hemmings, David;Davis, Sammi
Man Who Knew Too Much, The;Stewart, James;Day, Doris
Beauty & the Beast;Marais, Jean;Day, Josette
Foreign Correspondent;McCrea, Joel;Day, Laraine
Heiress, The;Richardson, Ralph;De Havilland, Olivia
Boy Who Could Fly, The;Underwood, Jay;Deakins, Lucy
Terrorists, The;Connery, Sean;Dean, Isabel
Wheel of Fortune;Wayne, John;Dee, Frances
