;Title;Genre;Actors
84;Furious 7;Action, Adventure, Thriller            ;Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham
85;Get Hard;Comedy, Crime            ;Will Ferrell, Kevin Hart, Alison Brie, T.I.
86;Insurgent;Action, Adventure, Sci-Fi            ;Shailene Woodley, Ansel Elgort, Theo James, Kate Winslet
87;Run All Night;Action, Crime, Drama            ;Liam Neeson, Ed Harris, Joel Kinnaman, Vincent D'Onofrio
88;Home;Animation, Adventure, Comedy            ;Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez
89;Chappie;Action, Crime, Drama            ;Sharlto Copley, Dev Patel, Hugh Jackman, Sigourney Weaver
90;Unfinished Business;Comedy, Drama            ;Vince Vaughn, Dave Franco, Tom Wilkinson, James Marsden
91;The Second Best Exotic Marigold Hotel;Comedy, Drama            ;Judi Dench, Maggie Smith, Bill Nighy, Dev Patel
92;The Gunman;Action, Crime, Drama            ;Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem
93;Cinderella;Drama, Family, Fantasy            ;Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter
94;Focus;Comedy, Crime, Drama            ;Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez
95;Accidental Love;Comedy, Romance            ;Jessica Biel, Raymond L. Brown Jr., Jenny Gulley, Beverly D'Angelo
96;Every Thing Will Be Fine;Drama            ;James Franco, Peter Miller, Gilbert Wahiakeron, Claude Chamberlain
97;Fifty Shades of Grey;Drama, Romance, Thriller            ;Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford
98;Mr. Holmes;Drama, Mystery            ;Ian McKellen, Laura Linney, Hiroyuki Sanada, Hattie Morahan
99;Queen of the Desert;Adventure, Biography, Drama            ;Nicole Kidman, James Franco, Robert Pattinson, Damian Lewis
100;Home Sweet Hell;Comedy, Crime, Thriller            ;Katherine Heigl, Patrick Wilson, Madison Wolfe, Aiden Flowers
101;Jupiter Ascending;Action, Adventure, Sci-Fi            ;Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean
102;Brooklyn;Drama, Romance            ;Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent
103;Brooklyn;Drama, Romance            ;Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent
104;The Stanford Prison Experiment;Biography, Drama, History            ;Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby
105;Mississippi Grind;Comedy, Drama            ;Ben Mendelsohn, Ryan Reynolds, Yvonne Landry, Anthony Howard
106;Entertainment;Drama            ;Gregg Turkington, John C. Reilly, Tye Sheridan, Amy Seimetz
107;True Story;Crime, Drama, Mystery            ;James Franco, Jonah Hill, Felicity Jones, Maria Dizzia
108;Ten Thousand Saints;Comedy, Drama, Music            ;Ethan Hawke, Asa Butterfield, Hailee Steinfeld, Emily Mortimer
109;Tracers;Action, Crime, Drama            ;Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron
110;Wild Card;Action, Crime, Drama            ;Jason Statham, Michael Angarano, Dominik Garcia, Milo Ventimiglia
111;The Woman in Black 2: Angel of Death;Drama, Horror, Thriller            ;Helen McCrory, Jeremy Irvine, Phoebe Fox, Leanne Best
112;Kingsman: The Secret Service;Action, Adventure, Comedy            ;Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine
113;The Interview;Action, Adventure, Comedy            ;James Franco, Seth Rogen, Randall Park, Lizzy Caplan
114;Into the Woods;Adventure, Comedy, Drama            ;Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt
115;Black Sea;Adventure, Drama, Thriller            ;Jude Law, Scoot McNairy, Ben Mendelsohn, David Threlfall
116;The Hobbit: The Battle of the Five Armies;Adventure, Fantasy            ;Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett
117;Big Eyes;Biography, Crime, Drama            ;Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter
118;American Sniper;Action, Biography, Drama            ;Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis
