;Title;Genre;Actors
2533;The Italian Job;Action, Crime, Thriller            ;Donald Sutherland, Mark Wahlberg, Edward Norton, Charlize Theron
2534;Wrong Turn;Horror            ;Eliza Dushku, Jeremy Sisto, Emmanuelle Chriqui, Desmond Harrington
2535;Mystic River;Crime, Drama, Mystery            ;Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum
2536;Bright Leaves;Documentary, Biography, Comedy            ;Allan Gurganus, Paula Larke, Marilyn Levine, Emily Madison
2537;Henri Cartier-Bresson: The Impassioned Eye;Documentary, Biography            ;Henri Cartier-Bresson, Alexander Brooks, Robert Delpire, Elliott Erwitt
2538;The Brown Bunny;Drama            ;Vincent Gallo, Chloë Sevigny, Cheryl Tiegs, Elizabeth Blake
2539;Dogville;Crime, Drama            ;Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson
2540;The In-Laws;Action, Comedy, Thriller            ;Albert Brooks, Michael Douglas, Ryan Reynolds, Lindsay Sloane
2541;Japanese Story;Drama, Romance            ;Toni Collette, Gotaro Tsunashima, Lynette Curran, Matthew Dyktynski
2542;Swimming Pool;Crime, Drama, Mystery            ;Charlotte Rampling, Charles Dance, Ludivine Sagnier, Jean-Marie Lamour
2543;Elephant;Crime, Drama, Thriller            ;Elias McConnell, Alex Frost, Eric Deulen, John Robinson
2544;11.14;Crime, Drama, Mystery            ;Henry Thomas, Colin Hanks, Ben Foster, Patrick Swayze
2545;Young Adam;Crime, Drama            ;Ewan McGregor, Tilda Swinton, Peter Mullan, Emily Mortimer
2546;The Mother;Drama, Romance            ;Anne Reid, Daniel Craig, Anna Wilson-Jones, Peter Vaughan
2547;Bright Young Things;Comedy, Drama, War            ;Stephen Campbell Moore, Emily Mortimer, Dan Aykroyd, Simon McBurney
2548;I'll Sleep When I'm Dead;Crime, Drama, Mystery            ;Clive Owen, Malcolm McDowell, Jonathan Rhys Meyers, Charlotte Rampling
2549;Mambo Italiano;Comedy, Drama, Romance            ;Luke Kirby, Peter Miller, Ginette Reno, Paul Sorvino
2550;I Am David;Adventure, Drama            ;Ben Tibber, Jim Caviezel, Joan Plowright, Hristo Shopov
2551;Bruce Almighty;Comedy, Drama, Fantasy            ;Jim Carrey, Jennifer Aniston, Morgan Freeman, Philip Baker Hall
2552;Down with Love;Comedy, Romance            ;Ewan McGregor, Renée Zellweger, David Hyde Pierce, Sarah Paulson
2553;The Matrix Reloaded;Action, Sci-Fi            ;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving
2554;Daddy Day Care;Comedy, Family            ;Eddie Murphy, Jeff Garlin, Anjelica Huston, Steve Zahn
2555;The Lizzie McGuire Movie;Adventure, Comedy, Family            ;Hilary Duff, Adam Lamberg, Clayton Snyder, Hallie Todd
2556;X2: X-Men United;Action, Sci-Fi, Thriller            ;Patrick Stewart, Hugh Jackman, Halle Berry, Ian McKellen
2557;Identity;Mystery, Thriller            ;John Cusack, Ray Liotta, Amanda Peet, John Hawkes
2558;Bulletproof Monk;Action, Comedy, Fantasy            ;Yun-Fat Chow, Seann William Scott, Jaime King, Karel Roden
2559;My Architect;Documentary, Biography            ;Edmund Bacon, Edwina Pattison Daniels, Balkrishna Doshi, Frank Gehry
2560;Holes;Adventure, Comedy, Drama            ;Shia LaBeouf, Sigourney Weaver, Jon Voight, Tim Blake Nelson
2561;Malibu's Most Wanted;Comedy, Crime            ;Jamie Kennedy, Ryan O'Neal, Blair Underwood, Taye Diggs
2562;Johnny English;Action, Adventure, Comedy            ;Rowan Atkinson, John Malkovich, Natalie Imbruglia, Tasha de Vasconcelos
2563;A Man Apart;Action, Crime, Drama            ;Vin Diesel, Timothy Olyphant, Larenz Tate, Geno Silva
2564;Basic;Action, Crime, Drama            ;John Travolta, Samuel L. Jackson, Connie Nielsen, Tim Daly
2565;Head of State;Comedy            ;Chris Rock, Bernie Mac, Lynn Whitfield, Dylan Baker
2566;What a Girl Wants;Comedy, Drama, Family            ;Amanda Bynes, Colin Firth, Kelly Preston, Eileen Atkins
2567;The Core;Action, Adventure, Sci-Fi            ;Aaron Eckhart, Hilary Swank, Delroy Lindo, Bruce Greenwood
2568;Ned Kelly;Action, Adventure, Biography            ;Heath Ledger, Orlando Bloom, Geoffrey Rush, Naomi Watts
2569;View from the Top;Comedy, Romance            ;Gwyneth Paltrow, Christina Applegate, Kelly Preston, Mark Ruffalo
2570;Piglet's Big Movie;Animation, Adventure, Comedy            ;John Fiedler, Jim Cummings, Ken Sansom, Peter Cullen
2571;Agent Cody Banks;Action, Adventure, Comedy            ;Frankie Muniz, Hilary Duff, Andrew Francis, Angie Harmon
2572;Willard;Drama, Horror, Sci-Fi            ;Crispin Glover, R. Lee Ermey, Laura Harring, Jackie Burroughs
2573;Anger Management;Comedy            ;Jack Nicholson, Adam Sandler, Marisa Tomei, Luis Guzmán
2574;Tears of the Sun;Action, Drama, Thriller            ;Bruce Willis, Cole Hauser, Monica Bellucci, Eamonn Walker
2575;Undead;Action, Comedy, Fantasy            ;Felicity Mason, Mungo McKay, Rob Jenkins, Lisa Cunningham
2576;Swimming Upstream;Biography, Drama, Sport            ;Geoffrey Rush, Judy Davis, Jesse Spencer, Tim Draxl
2577;Cradle 2 the Grave;Action, Crime, Drama            ;Jet Li, DMX, Mark Dacascos, Anthony Anderson
2578;The Agronomist;Documentary, Biography, History            ;Jean Dominique, Aboudja, Ronald Reagan
2579;House of the Dead;Action, Adventure, Horror            ;Jonathan Cherry, Tyron Leitso, Clint Howard, Ona Grauer
2580;Alexandra's Project;Drama, Mystery, Thriller            ;Gary Sweet, Helen Buday, Bogdan Koca, Samantha Knigge
2581;Old School;Comedy            ;Luke Wilson, Vince Vaughn, Will Ferrell, Jeremy Piven
2582;Gods and Generals;Biography, Drama, History            ;Stephen Lang, Robert Duvall, Jeff Daniels, Donzaleigh Abernathy
2583;My Life Without Me;Drama, Romance            ;Sarah Polley, Scott Speedman, Mark Ruffalo, Leonor Watling
2584;Daredevil;Action, Crime            ;Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan
2585;The Life of David Gale;Crime, Drama, Thriller            ;Kevin Spacey, Kate Winslet, Laura Linney, Cleo King
2586;Deliver Us from Eva;Comedy, Drama, Romance            ;Gabrielle Union, LL Cool J, Essence Atkins, Duane Martin
2587;The Jungle Book 2;Animation, Adventure, Family            ;John Goodman, Haley Joel Osment, Tony Jay, Mae Whitman
2588;Biker Boyz;Action, Drama            ;Laurence Fishburne, Derek Luke, Orlando Jones, Djimon Hounsou
2589;DysFunktional Family;Comedy, Documentary            ;Eddie Griffin, Joe Howard, Matthew Brent, Robert Noble
2590;Final Destination 2;Horror, Thriller            ;A.J. Cook, Ali Larter, Tony Todd, Michael Landes
2591;Shanghai Knights;Action, Adventure, Comedy            ;Jackie Chan, Owen Wilson, Fann Wong, Aaron Taylor-Johnson
2592;The Station Agent;Comedy, Drama            ;Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin
2593;The Recruit;Action, Thriller            ;Al Pacino, Colin Farrell, Bridget Moynahan, Gabriel Macht
2594;Darkness Falls;Fantasy, Horror, Mystery            ;Chaney Kley, Emma Caulfield Ford, Antony Burrows, Lee Cormie
2595;Owning Mahowny;Crime, Drama, Thriller            ;Philip Seymour Hoffman, Minnie Driver, John Hurt, Maury Chaykin
2596;The Hebrew Hammer;Comedy            ;Adam Goldberg, Andy Dick, Judy Greer, Mario Van Peebles
2597;Masked and Anonymous;Comedy, Drama, Music            ;Bob Dylan, John Goodman, Jessica Lange, Jeff Bridges
2598;Tupac: Resurrection;Documentary, Biography, Music            ;Tupac Shakur, Rappin' 4-Tay, Conrad Bain, Bill Bellamy
2599;Ong-Bak: The Thai Warrior;Action, Crime, Thriller            ;Tony Jaa, Petchtai Wongkamlao, Pumwaree Yodkamol, Suchao Pongwilai
2600;Camp;Comedy, Musical, Drama            ;Don Dixon, Daniel Letterle, Joanna Chilcoat, Robin de Jesus
2601;Northfork;Drama, Fantasy            ;Duel Farnes, Nick Nolte, Anthony Edwards, James Woods
2602;American Splendor;Biography, Comedy, Drama            ;Paul Giamatti, Shari Springer Berman, Harvey Pekar, Chris Ambrose
2603;Confidence;Crime, Thriller            ;Edward Burns, Dustin Hoffman, Rachel Weisz, Andy Garcia
2604;Prey for Rock & Roll;Drama, Music            ;Gina Gershon, Lori Petty, Marc Blucas, Drea de Matteo
2605;Pieces of April;Comedy, Drama            ;Katie Holmes, Oliver Platt, Patricia Clarkson, Derek Luke
2606;All the Real Girls;Drama, Romance            ;Zooey Deschanel, Paul Schneider, Patricia Clarkson, Shea Whigham
2607;Fear X;Thriller            ;John Turturro, Deborah Kara Unger, Stephen Eric McIntyre, William Allen Young
2608;End of the Century;Documentary, Biography, Music            ;Rick Rubin, Tommy Ramone, Dee Dee Ramone, Johnny Ramone
2609;Party Monster;Biography, Crime, Drama            ;Macaulay Culkin, Wilson Cruz, Seth Green, Diana Scarwid
2610;The Shape of Things;Comedy, Drama, Romance            ;Paul Rudd, Rachel Weisz, Gretchen Mol, Frederick Weller
2611;The United States of Leland;Drama            ;Ryan Gosling, Don Cheadle, Kevin Spacey, Chris Klein
2612;Dot the I;Drama, Romance, Thriller            ;Gael García Bernal, Natalia Verbeke, James D'Arcy, Tom Hardy
2613;Bukowski: Born into This;Documentary, Biography            ;Charles Bukowski, Bono, John Bryan, Linda Lee Bukowski
2614;Thirteen;Drama            ;Evan Rachel Wood, Holly Hunter, Nikki Reed, Vanessa Hudgens
2615;The Cooler;Drama, Romance            ;William H. Macy, Maria Bello, Alec Baldwin, Shawn Hatosy
2616;The Singing Detective;Comedy, Crime, Musical            ;Robert Downey Jr., Robin Wright, Mel Gibson, Jeremy Northam
2617;Capturing the Friedmans;Documentary, Biography            ;Arnold Friedman, Jesse Friedman, David Friedman, Elaine Friedman
2618;The Mudge Boy;Crime, Drama, Romance            ;Emile Hirsch, Richard Jenkins, Tom Guiry, Pablo Schreiber
2619;Levity;Crime, Drama            ;Billy Bob Thornton, Morgan Freeman, Kirsten Dunst, Holly Hunter
2620;National Security;Action, Comedy, Crime            ;Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke
2621;Kangaroo Jack;Action, Adventure, Comedy            ;Anthony Anderson, Jerry O'Connell, Estella Warren, Christopher Walken
2622;I Capture the Castle;Drama, Romance            ;Romola Garai, Rose Byrne, Bill Nighy, Sophie Stuckey
2623;It's All About Love;Drama, Romance, Sci-Fi            ;Joaquin Phoenix, Claire Danes, Sean Penn, Douglas Henshall
2624;Just Married;Comedy, Romance            ;Ashton Kutcher, Brittany Murphy, Christian Kane, David Moscow
2625;The Reckoning;Crime, Drama, Mystery            ;Willem Dafoe, Paul Bettany, Marián Aguilera, Trevor Steedman
2626;Nicholas Nickleby;Adventure, Drama, Romance            ;Charlie Hunnam, Jamie Bell, Christopher Plummer, Jim Broadbent
2627;Catch Me If You Can;Biography, Crime, Drama            ;Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen
2628;25th Hour;Drama            ;Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson
2629;The Hours;Drama, Romance            ;Meryl Streep, Nicole Kidman, Julianne Moore, Stephen Dillane
2630;Dark Blue;Crime, Drama, Thriller            ;Kurt Russell, Ving Rhames, Scott Speedman, Michael Michele
2631;Maid in Manhattan;Comedy, Drama, Romance            ;Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci
2632;Two Weeks Notice;Comedy, Romance            ;Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey
2633;Confessions of a Dangerous Mind;Biography, Comedy, Crime            ;Sam Rockwell, Drew Barrymore, George Clooney, Julia Roberts
2634;Chicago;Comedy, Crime, Musical            ;Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs
2635;Gangs of New York;Crime, Drama            ;Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent
2636;Star Trek: Nemesis;Action, Adventure, Sci-Fi            ;Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton
2637;Equilibrium;Action, Drama, Sci-Fi            ;Christian Bale, Sean Bean, Emily Watson, Taye Diggs
2638;Analyze That;Comedy, Crime            ;Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli
2639;The Lord of the Rings: The Two Towers;Adventure, Drama, Fantasy            ;Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom
2640;Adaptation.;Comedy, Drama            ;Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton
2641;Zero Day;Drama            ;Cal Robertson, Andre Keuck, Serataren Adragna, Melissa Banks
2642;Solaris;Drama, Mystery, Romance            ;George Clooney, Natascha McElhone, Ulrich Tukur, Viola Davis
2643;Half Past Dead;Action, Crime, Thriller            ;Morris Chestnut, Steven Seagal, Matt Battaglia, Ja Rule
2644;Die Another Day;Action, Adventure, Thriller            ;Pierce Brosnan, Halle Berry, Rosamund Pike, Toby Stephens
2645;Wilbur Wants to Kill Himself;Comedy, Drama, Romance            ;Jamie Sives, Adrian Rawlins, Shirley Henderson, Lisa McKinlay
2646;Treasure Planet;Animation, Adventure, Family            ;Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne
2647;Harry Potter and the Chamber of Secrets;Adventure, Family, Fantasy            ;Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris
2648;28 Days Later...;Drama, Horror, Sci-Fi            ;Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer
2649;They;Horror, Mystery, Thriller            ;Laura Regan, Marc Blucas, Ethan Embry, Dagmara Dominczyk
2650;The Santa Clause 2;Comedy, Family, Fantasy            ;Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd
2651;Waking Up in Reno;Comedy, Romance            ;Billy Bob Thornton, Charlize Theron, Patrick Swayze, Natasha Richardson
2652;Ying xiong;Action, Adventure, History            ;Jet Li, Tony Chiu-Wai Leung, Maggie Cheung, Ziyi Zhang
2653;I Spy;Action, Adventure, Comedy            ;Eddie Murphy, Owen Wilson, Famke Janssen, Malcolm McDowell
2654;Ghost Ship;Horror            ;Julianna Margulies, Gabriel Byrne, Ron Eldard, Desmond Harrington
2655;Jackass: The Movie;Documentary, Action, Comedy            ;Johnny Knoxville, Bam Margera, Chris Pontius, Steve-O
2656;The Truth About Charlie;Mystery, Thriller            ;Mark Wahlberg, Thandie Newton, Tim Robbins, Olga Sékulic
2657;The Rules of Attraction;Comedy, Drama, Romance            ;James Van Der Beek, Ian Somerhalder, Shannyn Sossamon, Jessica Biel
2658;Below;Action, Horror, Mystery            ;Bruce Greenwood, David Crow, Matthew Davis, Holt McCallany
2659;Pinocchio;Comedy, Family, Fantasy            ;Roberto Benigni, Nicoletta Braschi, Carlo Giuffrè, Mino Bellei
2660;People I Know;Crime, Drama            ;Al Pacino, Téa Leoni, Ryan O'Neal, Kim Basinger
2661;Boat Trip;Comedy            ;Cuba Gooding Jr., Horatio Sanz, Roselyn Sanchez, Vivica A. Fox
2662;Jonah: A VeggieTales Movie;Animation, Adventure, Comedy            ;Phil Vischer, Mike Nawrocki, Tim Hodge, Lisa Vischer
2663;Darkness;Horror            ;Anna Paquin, Lena Olin, Iain Glen, Giancarlo Giannini
2664;The Ring;Horror, Mystery            ;Naomi Watts, Martin Henderson, Brian Cox, David Dorfman
2665;The Transporter;Action, Crime, Thriller            ;Jason Statham, Qi Shu, Matt Schulze, François Berléand
2666;Red Dragon;Crime, Drama, Thriller            ;Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel
2667;Sweet Home Alabama;Comedy, Romance            ;Reese Witherspoon, Patrick Dempsey, Josh Lucas, Candice Bergen
2668;Trapped;Action, Crime, Drama            ;Kevin Bacon, Charlize Theron, Courtney Love, Stuart Townsend
2669;The Tuxedo;Action, Comedy, Sci-Fi            ;Jackie Chan, Jennifer Love Hewitt, Jason Isaacs, Debi Mazar
2670;Ballistic: Ecks vs. Sever;Action, Crime, Mystery            ;Antonio Banderas, Lucy Liu, Talisa Soto, Gregg Henry
2671;Cabin Fever;Horror            ;Jordan Ladd, Rider Strong, James DeBello, Cerina Vincent
2672;Pure;Drama            ;Harry Eden, Vinnie Hunter, Molly Parker, David Wenham
2673;Stealing Harvard;Comedy, Crime            ;Jason Lee, Tom Green, Leslie Mann, Megan Mullally
2674;Antwone Fisher;Biography, Drama            ;Denzel Washington, Derek Luke, Joy Bryant, Malcolm David Kelley
2675;In America;Drama            ;Paddy Considine, Samantha Morton, Djimon Hounsou, Sarah Bolger
2676;Phone Booth;Crime, Thriller            ;Colin Farrell, Kiefer Sutherland, Forest Whitaker, Radha Mitchell
2677;Max;Drama, War            ;John Cusack, Noah Taylor, Leelee Sobieski, Molly Parker
2678;City of Ghosts;Crime, Drama, Thriller            ;Matt Dillon, James Caan, Natascha McElhone, Gérard Depardieu
2679;He ni zai yi qi;Drama, Music            ;Yun Tang, Peiqi Liu, Hong Chen, Zhiwen Wang
2680;Moonlight Mile;Drama, Romance            ;Jake Gyllenhaal, Dustin Hoffman, Susan Sarandon, Alexia Landeau
2681;Whale Rider;Drama, Family            ;Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton, Cliff Curtis
2682;The Quiet American;Drama, Romance, Thriller            ;Michael Caine, Brendan Fraser, Thi Hai Yen Do, Rade Serbedzija
2683;Evelyn;Drama            ;Pierce Brosnan, Julianna Margulies, Aidan Quinn, Sophie Vavasseur
2684;The Emperor's Club;Drama            ;Kevin Kline, Emile Hirsch, Joel Gretsch, Embeth Davidtz
2685;8 Mile;Drama, Music            ;Eminem, Brittany Murphy, Kim Basinger, Mekhi Phifer
2686;Tuck Everlasting;Drama, Family, Fantasy            ;Alexis Bledel, Jonathan Jackson, Sissy Spacek, William Hurt
2687;The Four Feathers;Action, Adventure, Drama            ;Heath Ledger, Wes Bentley, Kate Hudson, Mohamed Bouich
2688;Auto Focus;Biography, Crime, Drama            ;Greg Kinnear, Willem Dafoe, Maria Bello, Rita Wilson
2689;The Banger Sisters;;
2690;The Wild Thornberrys Movie;Animation, Adventure, Comedy            ;Tim Curry, Rupert Everett, Flea, Lacey Chabert
2691;White Oleander;Drama            ;Michelle Pfeiffer, Renée Zellweger, Robin Wright, Alison Lohman
2692;City by the Sea;Crime, Drama, Mystery            ;Robert De Niro, James Franco, Frances McDormand, Eliza Dushku
2693;The Good Thief;Action, Crime, Drama            ;Nick Nolte, Ralph Fiennes, Nutsa Kukhianidze, Ouassini Embarek
2694;Bollywood/Hollywood;Romance, Comedy, Drama            ;Rahul Khanna, Moushumi Chatterjee, Dina Pathak, Lisa Ray
2695;Dirty Pretty Things;Crime, Drama, Thriller            ;Chiwetel Ejiofor, Audrey Tautou, Sophie Okonedo, Sergi López
2696;sep-11;Drama            ;Maryam Karimi, Mohamad Dolati, Agelem Habibi, Esmat Vahedi
2697;Far from Heaven;Drama            ;Julianne Moore, Dennis Quaid, Dennis Haysbert, Patricia Clarkson
2698;Sonny;Crime, Drama            ;James Franco, Brenda Blethyn, Mena Suvari, Harry Dean Stanton
2699;The Magdalene Sisters;Drama            ;Eileen Walsh, Dorothy Duffy, Nora-Jane Noone, Anne-Marie Duff
2700;Frida;Biography, Drama, Romance            ;Salma Hayek, Alfred Molina, Geoffrey Rush, Mía Maestro
2701;S1m0ne;Comedy, Drama, Sci-Fi            ;Al Pacino, Catherine Keener, Rachel Roberts, Benjamin Salisbury
2702;The Guru;Comedy, Music, Romance            ;Jimi Mistry, Heather Graham, Marisa Tomei, Michael McKean
2703;Serving Sara;Comedy, Romance            ;Matthew Perry, Elizabeth Hurley, Bruce Campbell, Vincent Pastore
2704;Possession;Drama, Mystery, Romance            ;Gwyneth Paltrow, Aaron Eckhart, Jeremy Northam, Jennifer Ehle
2705;Close Your Eyes;Crime, Horror, Mystery            ;Goran Visnjic, Paddy Considine, Shirley Henderson, Miranda Otto
2706;xXx;Action, Adventure, Thriller            ;Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson
2707;Paid in Full;Action, Crime, Drama            ;Mekhi Phifer, Wood Harris, Chi McBride, Kevin Carroll
2708;Feardotcom;Crime, Horror, Thriller            ;Stephen Dorff, Natascha McElhone, Stephen Rea, Udo Kier
2709;Oasis;Drama, Romance            ;Kyung-gu Sol, So-Ri Moon, Nae-sang Ahn, Seung-wan Ryoo
2710;Blue Crush;Drama, Romance, Sport            ;Kate Bosworth, Michelle Rodriguez, Matthew Davis, Sanoe Lake
2711;Spy Kids 2: Island of Lost Dreams;Action, Adventure, Comedy            ;Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino
2712;Barbershop;Comedy, Drama            ;Ice Cube, Cedric the Entertainer, Eve, Anthony Anderson
2713;Drumline;Comedy, Drama, Romance            ;Nick Cannon, Zoe Saldana, Orlando Jones, Leonard Roberts
2714;Blood Work;Action, Crime, Drama            ;Clint Eastwood, Jeff Daniels, Anjelica Huston, Wanda De Jesus
2715;Austin Powers in Goldmember;Action, Adventure, Comedy            ;Mike Myers, Beyoncé, Seth Green, Michael York
2716;K-19: The Widowmaker;Drama, History, Thriller            ;Harrison Ford, Sam Spruell, Peter Stebbings, Christian Camargo
2717;Stuart Little 2;Animation, Adventure, Comedy            ;Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki
2718;Pokémon Heroes;Animation, Action, Adventure            ;Eric Stuart, Madeleine Blaustein, Rachael Lillis, Veronica Taylor
2719;The Crocodile Hunter: Collision Course;Action, Adventure, Comedy            ;Steve Irwin, Terri Irwin, Magda Szubanski, David Wenham
2720;Road to Perdition;Crime, Drama, Thriller            ;Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken
2721;Reign of Fire;Action, Adventure, Fantasy            ;Matthew McConaughey, Christian Bale, Izabella Scorupco, Gerard Butler
2722;Men in Black II;Action, Adventure, Comedy            ;Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle
2723;Like Mike;Comedy, Family, Fantasy            ;Shad Moss, Jonathan Lipnicki, Morris Chestnut, Brenda Song
2724;Halloween: Resurrection;Horror, Thriller            ;Jamie Lee Curtis, Busta Rhymes, Brad Loree, Bianca Kajlich
2725;Spun;Comedy, Crime, Drama            ;Jason Schwartzman, John Leguizamo, Patrick Fugit, Brittany Murphy
2726;Mr. Deeds;Comedy, Romance            ;Adam Sandler, Winona Ryder, John Turturro, Allen Covert
2727;The First $20 Million Is Always the Hardest;Comedy            ;Adam Garcia, Rosario Dawson, Jake Busey, Enrico Colantoni
2728;The Powerpuff Girls Movie;Animation, Action, Adventure            ;Cathy Cavadini, Tara Strong, Elizabeth Daily, Roger Jackson
2729;The Importance of Being Earnest;Comedy, Drama, Romance            ;Rupert Everett, Colin Firth, Frances O'Connor, Reese Witherspoon
2730;Dahmer;Biography, Crime, Drama            ;Jeremy Renner, Bruce Davison, Artel Great, Matt Newton
2731;Juwanna Mann;Comedy, Drama, Romance            ;Miguel A. Núñez Jr., Christopher Simmons, Vivica A. Fox, Kevin Pollak
2732;Minority Report;Action, Crime, Mystery            ;Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow
2733;Lilo & Stitch;Animation, Adventure, Comedy            ;Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers
2734;Windtalkers;Action, Drama, War            ;Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich
2735;Bubba Ho-Tep;Comedy, Fantasy, Horror            ;Bruce Campbell, Ossie Davis, Bob Ivy, Ella Joyce
2736;Scooby-Doo;Adventure, Comedy, Family            ;Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar, Linda Cardellini
2737;Poolhall Junkies;Comedy, Drama, Sport            ;Mars Callahan, Chazz Palminteri, Michael Rosenbaum, Ricky Schroder
2738;The Bourne Identity;Action, Mystery, Thriller            ;Franka Potente, Matt Damon, Chris Cooper, Clive Owen
2739;Divine Secrets of the Ya-Ya Sisterhood;Drama            ;Sandra Bullock, Ellen Burstyn, Fionnula Flanagan, James Garner
2740;Undisputed;Action, Crime, Drama            ;Wesley Snipes, Ving Rhames, Peter Falk, Michael Rooker
2741;Hey Arnold! The Movie;Animation, Adventure, Comedy            ;Spencer Klein, Francesca Marie Smith, Jamil Walker Smith, Dan Castellaneta
2742;Eight Legged Freaks;Action, Adventure, Comedy            ;David Arquette, Kari Wuhrer, Scott Terra, Scarlett Johansson
2743;Undercover Brother;Action, Comedy            ;Eddie Griffin, Denise Richards, Aunjanue Ellis, Chris Kattan
2744;The Sum of All Fears;Action, Drama, Thriller            ;Ben Affleck, Morgan Freeman, Ian Mongrain, Russell Bobbitt
2745;The Pianist;Biography, Drama, Music            ;Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox
2746;Welcome to Collinwood;Comedy, Crime            ;George Clooney, Sam Rockwell, William H. Macy, Isaiah Washington
2747;Igby Goes Down;Comedy, Drama            ;Kieran Culkin, Susan Sarandon, Jeff Goldblum, Claire Danes
2748;About Schmidt;Comedy, Drama            ;Jack Nicholson, Hope Davis, Dermot Mulroney, Kathy Bates
2749;Enough;Crime, Drama, Thriller            ;Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis
2750;Spider;Drama, Mystery, Thriller            ;Ralph Fiennes, Miranda Richardson, Gabriel Byrne, Lynn Redgrave
2751;Sweet Sixteen;Crime, Drama            ;Martin Compston, Michelle Coulter, Annmarie Fulton, William Ruane
2752;Ararat;Drama, War            ;Charles Aznavour, Brent Carver, Eric Bogosian, Simon Abkarian
2753;Punch-Drunk Love;Comedy, Drama, Romance            ;Adam Sandler, Emily Watson, Philip Seymour Hoffman, Jason Andrews
2754;Morvern Callar;Drama            ;Samantha Morton, Kathleen McDermott, Linda McGuire, Paul Popplewell
2755;Sunshine State;Drama, Romance            ;Angela Bassett, Edie Falco, Alex Lewis, Alan King
2756;Spirit: Stallion of the Cimarron;Animation, Adventure, Drama            ;Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet
2757;Laurel Canyon;Drama            ;Frances McDormand, Alessandro Nivola, Christian Bale, Kate Beckinsale
2758;All or Nothing;Drama            ;Timothy Spall, Lesley Manville, Ruth Sheen, Alison Garland
2759;Star Wars: Episode II - Attack of the Clones;Action, Adventure, Fantasy            ;Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee
2760;Roger Dodger;Comedy, Drama            ;Campbell Scott, Jesse Eisenberg, Isabella Rossellini, Elizabeth Berkley
2761;Interview with the Assassin;Drama            ;Dylan Haggerty, Raymond J. Barry, Renee Faia, Kelsey Kemper
2762;Unfaithful;Drama, Romance, Thriller            ;Richard Gere, Diane Lane, Olivier Martinez, Erik Per Sullivan
2763;The New Guy;Comedy            ;DJ Qualls, Lyle Lovett, Eliza Dushku, Zooey Deschanel
2764;The Trip;Comedy, Drama, Romance            ;Larry Sullivan, Steve Braun, Ray Baker, James Handy
2765;Insomnia;Drama, Mystery, Thriller            ;Al Pacino, Robin Williams, Hilary Swank, Martin Donovan
2766;Deuces Wild;Action, Crime, Drama            ;Stephen Dorff, Brad Renfro, Fairuza Balk, Norman Reedus
2767;Hollywood Ending;Comedy, Romance            ;Woody Allen, Téa Leoni, Bob Dorian, Ivan Martin
2768;Spider-Man;Action, Adventure, Sci-Fi            ;Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco
2769;Femme Fatale;Crime, Drama, Mystery            ;Rebecca Romijn, Antonio Banderas, Peter Coyote, Eriq Ebouaney
2770;About a Boy;Comedy, Drama, Romance            ;Hugh Grant, Nicholas Hoult, Toni Collette, Sharon Small
2771;Bad Company;Action, Adventure, Comedy            ;Anthony Hopkins, Chris Rock, Peter Stormare, Gabriel Macht
